file_path,component_name,category,current_styles,used_on_pages
index.html,HeadingDisplay,heading,"font-size: clamp(2rem,4vw,3.2rem); font-weight: 800; linear-gradient","view-dashboard"
index.html,HeadingPage,heading,"font-size: 1.5rem; font-weight: 700; color: var(--text-primary)","view-concepts; view-cheatsheet; view-spark-hub; view-prep-hub; view-architecture; view-gcc; view-account"
index.html,HeadingSection,heading,"font-size: 1.15rem; font-weight: 700; color: var(--text-primary)","view-dashboard; view-spark-hub; view-prep-hub; view-architecture"
index.html,HeadingCard,heading,"font-size: 0.95rem; font-weight: 700; color: var(--text-primary)","all views"
index.html,DashboardHeroV3,card,"background: var(--hero-gradient); border-radius: 20px; padding: 2rem","view-dashboard"
index.html,ContinueLearningBand,card,"background: rgba(43,63,255,0.06); border: 1px solid rgba(43,63,255,0.2); border-radius: 14px","view-dashboard"
index.html,StatCardV3,card,"background: var(--surface-card); border: 1px solid var(--card-border); border-radius: 14px; padding: 1.1rem","view-dashboard; view-account"
index.html,RoadmapCardV3,card,"background: var(--surface-card); border-left: 4px solid var(--accent); border-radius: 12px","view-dashboard"
index.html,ConceptCard,card,"background: var(--surface-card); border: 1px solid var(--card-border); border-radius: 14px; padding: 1.25rem","view-concepts; view-architecture"
index.html,NicheLauncherCard,card,"background: var(--surface-card); border: 1px solid var(--card-border); border-radius: 12px; padding: 1rem","view-prep-hub"
index.html,SparkMilestoneCard,card,"background: var(--surface-card); border: 1px solid var(--card-border); border-radius: 14px; padding: 1.25rem","view-spark-hub"
index.html,GccCardMobile,card,"display: block; background: var(--surface-card); margin-bottom: 0.85rem; border-radius: 12px; padding: 0.85rem","view-gcc"
index.html,NavBtn,button,"display: flex; align-items: center; gap: 0.65rem; padding: 0.6rem 0.85rem; border-radius: 10px","sidebar navigation"
index.html,ControlBtnPrimary,button,"background: var(--primary); color: #fff; border-radius: 10px; padding: 0.5rem 1rem","view-prep-hub; modals"
index.html,ControlBtnSecondary,button,"background: var(--item-bg); border: 1px solid var(--card-border); color: var(--text-primary)","view-prep-hub; modals"
index.html,ApplyLinkBtn,button,"display: inline-flex; align-items: center; gap: 0.35rem; padding: 0.35rem 0.75rem; border-radius: 6px; background: rgba(0,113,227,0.12)","view-gcc"
index.html,ThemeToggleBtn,button,"background: var(--surface-card); border: 1px solid var(--card-border); border-radius: 50%; width: 36px; height: 36px","sidebar; header"
index.html,QaSearchInput,input,"background: var(--item-bg); border: 1px solid var(--card-border); border-radius: 12px; padding: 0.65rem 1rem","view-prep-hub; view-concepts; view-cheatsheet; view-architecture; view-gcc"
index.html,SimSliderInput,input,"type: range; accent-color: var(--primary); width: 100%","view-spark-hub; view-concepts"
index.html,CodeBlockV3,code,"background: #0d1117; border: 1px solid var(--card-border); border-radius: 10px; padding: 1rem; font-family: JetBrains Mono","view-cheatsheet; view-spark-hub; view-prep-hub; view-dashboard"
index.html,MobileNavTab,tab,"display: flex; flex-direction: column; align-items: center; padding: 0.4rem 0.6rem; font-size: 0.68rem","mobile bottom nav"
index.html,SubTabChip,tab,"padding: 0.4rem 0.85rem; border-radius: 20px; background: var(--surface-card); border: 1px solid var(--card-border)","view-spark-hub; view-prep-hub"
index.html,BadgeRiskHigh,badge,"background: rgba(255,59,48,0.12); color: #ff3b30; border: 1px solid rgba(255,59,48,0.3); border-radius: 6px","view-gcc"
index.html,BadgeRiskMedium,badge,"background: rgba(255,149,0,0.12); color: #ff9500; border: 1px solid rgba(255,149,0,0.3); border-radius: 6px","view-gcc"
index.html,BadgeRiskLow,badge,"background: rgba(52,199,89,0.12); color: #34c759; border: 1px solid rgba(52,199,89,0.3); border-radius: 6px","view-gcc"
index.html,BadgeDiffEasy,pill,"background: var(--diff-easy-bg); color: var(--diff-easy-color); border-radius: 20px; padding: 0.15rem 0.5rem","all views"
index.html,BadgeDiffMedium,pill,"background: var(--diff-medium-bg); color: var(--diff-medium-color); border-radius: 20px; padding: 0.15rem 0.5rem","all views"
index.html,BadgeDiffHard,pill,"background: var(--diff-hard-bg); color: var(--diff-hard-color); border-radius: 20px; padding: 0.15rem 0.5rem","all views"
index.html,BadgeDiffArchitect,pill,"background: var(--diff-architect-bg); color: var(--diff-architect-color); border-radius: 20px; padding: 0.15rem 0.5rem","all views"
index.html,GccTable,table,"width: 100%; border-collapse: separate; border-spacing: 0; border: 1px solid var(--card-border)","view-gcc"
index.html,PolyglotMatrixTable,table,"min-width: 640px; width: 100%; border: 1px solid var(--card-border)","view-spark-hub"
index.html,EngineCompatTable,table,"width: 100%; border-collapse: collapse; margin-top: 1rem","view-concepts"
index.html,CmdPaletteModal,modal,"position: fixed; inset: 0; background: rgba(0,0,0,0.7); backdrop-filter: blur(8px); z-index: 1000","global command palette"
index.html,ExplainerDialogModal,modal,"position: fixed; inset: 0; background: rgba(0,0,0,0.8); z-index: 999","Q&A explainer modal"
index.html,BookmarksEmptyState,empty_state,"background: rgba(0,113,227,0.06); border: 1px dashed var(--primary); border-radius: 12px; padding: 1rem","view-account"
